sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,10.3
F,Y15-29,PC_POP,BA,Bosnia,28.8
F,Y15-29,PC_POP,BE,Belgium,9.7
F,Y15-29,PC_POP,BG,Bulgaria,20.6
F,Y15-29,PC_POP,CY,Cyprus,15.4
F,Y15-29,PC_POP,CZ,Czechia,17.3
F,Y15-29,PC_POP,DE,Germany,10.9
F,Y15-29,PC_POP,DK,Denmark,8.9
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),13.8
F,Y15-29,PC_POP,EE,Estonia,11.7
F,Y15-29,PC_POP,EL,Greece,17.9
F,Y15-29,PC_POP,ES,Spain,13.9
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),14.5
F,Y15-29,PC_POP,FI,Finland,8.7
F,Y15-29,PC_POP,FR,France,13.0
F,Y15-29,PC_POP,HR,Croatia,16.2
F,Y15-29,PC_POP,HU,Hungary,14.8
F,Y15-29,PC_POP,IE,Ireland,9.5
F,Y15-29,PC_POP,IS,Iceland,7.6
F,Y15-29,PC_POP,IT,Italy,25.0
F,Y15-29,PC_POP,LT,Lithuania,13.5
F,Y15-29,PC_POP,LU,Luxembourg,8.5
F,Y15-29,PC_POP,LV,Latvia,12.6
F,Y15-29,PC_POP,MT,Malta,12.0
F,Y15-29,PC_POP,NL,Netherlands,4.2
F,Y15-29,PC_POP,NO,Norway,7.3
F,Y15-29,PC_POP,PL,Poland,16.3
F,Y15-29,PC_POP,PT,Portugal,9.7
F,Y15-29,PC_POP,RO,Romania,26.3
F,Y15-29,PC_POP,RS,Serbia,21.0
F,Y15-29,PC_POP,SE,Sweden,6.3
F,Y15-29,PC_POP,SI,Slovenia,8.2
F,Y15-29,PC_POP,SK,Slovakia,17.5
F,Y15-29,PC_POP,TR,Turkey,39.4
M,Y15-29,PC_POP,AT,Austria,8.5
M,Y15-29,PC_POP,BA,Bosnia,21.6
M,Y15-29,PC_POP,BE,Belgium,10.4
M,Y15-29,PC_POP,BG,Bulgaria,14.4
M,Y15-29,PC_POP,CY,Cyprus,14.6
M,Y15-29,PC_POP,CZ,Czechia,4.8
M,Y15-29,PC_POP,DE,Germany,8.1
M,Y15-29,PC_POP,DK,Denmark,8.0
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),12.3
M,Y15-29,PC_POP,EE,Estonia,10.7
M,Y15-29,PC_POP,EL,Greece,16.5
M,Y15-29,PC_POP,ES,Spain,14.6
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),11.8
M,Y15-29,PC_POP,FI,Finland,9.7
M,Y15-29,PC_POP,FR,France,12.5
M,Y15-29,PC_POP,HR,Croatia,13.6
M,Y15-29,PC_POP,HU,Hungary,8.7
M,Y15-29,PC_POP,IE,Ireland,9.9
M,Y15-29,PC_POP,IS,Iceland,6.9
M,Y15-29,PC_POP,IT,Italy,21.2
M,Y15-29,PC_POP,LT,Lithuania,11.9
M,Y15-29,PC_POP,LU,Luxembourg,9.0
M,Y15-29,PC_POP,LV,Latvia,11.5
M,Y15-29,PC_POP,MT,Malta,9.2
M,Y15-29,PC_POP,NL,Netherlands,3.6
M,Y15-29,PC_POP,NO,Norway,7.5
M,Y15-29,PC_POP,PL,Poland,10.1
M,Y15-29,PC_POP,PT,Portugal,9.7
M,Y15-29,PC_POP,RO,Romania,14.6
M,Y15-29,PC_POP,RS,Serbia,17.3
M,Y15-29,PC_POP,SE,Sweden,5.8
M,Y15-29,PC_POP,SI,Slovenia,6.6
M,Y15-29,PC_POP,SK,Slovakia,11.1
M,Y15-29,PC_POP,TR,Turkey,17.7
T,Y15-29,PC_POP,AT,Austria,9.4
T,Y15-29,PC_POP,BA,Bosnia,25.1
T,Y15-29,PC_POP,BE,Belgium,10.1
T,Y15-29,PC_POP,BG,Bulgaria,17.4
T,Y15-29,PC_POP,CY,Cyprus,15.0
T,Y15-29,PC_POP,CZ,Czechia,10.9
T,Y15-29,PC_POP,DE,Germany,9.5
T,Y15-29,PC_POP,DK,Denmark,8.4
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),13.0
T,Y15-29,PC_POP,EE,Estonia,11.2
T,Y15-29,PC_POP,EL,Greece,17.2
T,Y15-29,PC_POP,ES,Spain,14.2
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),13.1
T,Y15-29,PC_POP,FI,Finland,9.2
T,Y15-29,PC_POP,FR,France,12.8
T,Y15-29,PC_POP,HR,Croatia,14.9
T,Y15-29,PC_POP,HU,Hungary,11.7
T,Y15-29,PC_POP,IE,Ireland,9.7
T,Y15-29,PC_POP,IS,Iceland,7.2
T,Y15-29,PC_POP,IT,Italy,23.1
T,Y15-29,PC_POP,LT,Lithuania,12.7
T,Y15-29,PC_POP,LU,Luxembourg,8.8
T,Y15-29,PC_POP,LV,Latvia,12.1
T,Y15-29,PC_POP,MT,Malta,10.5
T,Y15-29,PC_POP,NL,Netherlands,3.9
T,Y15-29,PC_POP,NO,Norway,7.4
T,Y15-29,PC_POP,PL,Poland,13.2
T,Y15-29,PC_POP,PT,Portugal,9.7
T,Y15-29,PC_POP,RO,Romania,20.3
T,Y15-29,PC_POP,RS,Serbia,19.1
T,Y15-29,PC_POP,SE,Sweden,6.1
T,Y15-29,PC_POP,SI,Slovenia,7.3
T,Y15-29,PC_POP,SK,Slovakia,14.2
T,Y15-29,PC_POP,TR,Turkey,28.4
