sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,9.6
F,Y15-29,PC_POP,BE,Belgium,13.2
F,Y15-29,PC_POP,BG,Bulgaria,23.3
F,Y15-29,PC_POP,CH,Switzerland,7.1
F,Y15-29,PC_POP,CY,Cyprus,19.3
F,Y15-29,PC_POP,CZ,Czechia,15.5
F,Y15-29,PC_POP,DE,Germany,12.0
F,Y15-29,PC_POP,DK,Denmark,10.5
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),15.6
F,Y15-29,PC_POP,EE,Estonia,12.6
F,Y15-29,PC_POP,EL,Greece,23.1
F,Y15-29,PC_POP,ES,Spain,17.1
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),16.0
F,Y15-29,PC_POP,FI,Finland,11.0
F,Y15-29,PC_POP,FR,France,13.6
F,Y15-29,PC_POP,HR,Croatia,18.9
F,Y15-29,PC_POP,HU,Hungary,14.7
F,Y15-29,PC_POP,IE,Ireland,13.8
F,Y15-29,PC_POP,IS,Iceland,4.8
F,Y15-29,PC_POP,IT,Italy,26.6
F,Y15-29,PC_POP,LT,Lithuania,10.8
F,Y15-29,PC_POP,LU,Luxembourg,6.9
F,Y15-29,PC_POP,LV,Latvia,13.5
F,Y15-29,PC_POP,ME,Montenegro,22.6
F,Y15-29,PC_POP,MK,Macedonia,35.7
F,Y15-29,PC_POP,MT,Malta,9.8
F,Y15-29,PC_POP,NL,Netherlands,7.9
F,Y15-29,PC_POP,NO,Norway,9.1
F,Y15-29,PC_POP,PL,Poland,16.7
F,Y15-29,PC_POP,PT,Portugal,10.8
F,Y15-29,PC_POP,RO,Romania,26.5
F,Y15-29,PC_POP,RS,Serbia,24.3
F,Y15-29,PC_POP,SE,Sweden,7.0
F,Y15-29,PC_POP,SI,Slovenia,8.7
F,Y15-29,PC_POP,SK,Slovakia,19.1
F,Y15-29,PC_POP,TR,Turkey,40.7
M,Y15-29,PC_POP,AT,Austria,7.9
M,Y15-29,PC_POP,BE,Belgium,10.5
M,Y15-29,PC_POP,BG,Bulgaria,14.7
M,Y15-29,PC_POP,CH,Switzerland,7.3
M,Y15-29,PC_POP,CY,Cyprus,15.7
M,Y15-29,PC_POP,CZ,Czechia,4.6
M,Y15-29,PC_POP,DE,Germany,7.4
M,Y15-29,PC_POP,DK,Denmark,9.1
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),12.6
M,Y15-29,PC_POP,EE,Estonia,8.5
M,Y15-29,PC_POP,EL,Greece,18.8
M,Y15-29,PC_POP,ES,Spain,15.7
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),12.1
M,Y15-29,PC_POP,FI,Finland,9.9
M,Y15-29,PC_POP,FR,France,12.7
M,Y15-29,PC_POP,HR,Croatia,16.8
M,Y15-29,PC_POP,HU,Hungary,7.9
M,Y15-29,PC_POP,IE,Ireland,11.8
M,Y15-29,PC_POP,IS,Iceland,3.4
M,Y15-29,PC_POP,IT,Italy,22.0
M,Y15-29,PC_POP,LT,Lithuania,9.8
M,Y15-29,PC_POP,LU,Luxembourg,6.4
M,Y15-29,PC_POP,LV,Latvia,11.1
M,Y15-29,PC_POP,ME,Montenegro,20.3
M,Y15-29,PC_POP,MK,Macedonia,26.7
M,Y15-29,PC_POP,MT,Malta,7.8
M,Y15-29,PC_POP,NL,Netherlands,5.3
M,Y15-29,PC_POP,NO,Norway,6.3
M,Y15-29,PC_POP,PL,Poland,9.6
M,Y15-29,PC_POP,PT,Portugal,10.4
M,Y15-29,PC_POP,RO,Romania,17.9
M,Y15-29,PC_POP,RS,Serbia,20.7
M,Y15-29,PC_POP,SE,Sweden,5.9
M,Y15-29,PC_POP,SI,Slovenia,7.2
M,Y15-29,PC_POP,SK,Slovakia,11.3
M,Y15-29,PC_POP,TR,Turkey,14.6
T,Y15-29,PC_POP,AT,Austria,8.8
T,Y15-29,PC_POP,BE,Belgium,11.8
T,Y15-29,PC_POP,BG,Bulgaria,18.9
T,Y15-29,PC_POP,CH,Switzerland,7.2
T,Y15-29,PC_POP,CY,Cyprus,17.6
T,Y15-29,PC_POP,CZ,Czechia,10.0
T,Y15-29,PC_POP,DE,Germany,9.6
T,Y15-29,PC_POP,DK,Denmark,9.8
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),14.0
T,Y15-29,PC_POP,EE,Estonia,10.5
T,Y15-29,PC_POP,EL,Greece,21.0
T,Y15-29,PC_POP,ES,Spain,16.4
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),14.0
T,Y15-29,PC_POP,FI,Finland,10.4
T,Y15-29,PC_POP,FR,France,13.2
T,Y15-29,PC_POP,HR,Croatia,17.9
T,Y15-29,PC_POP,HU,Hungary,11.2
T,Y15-29,PC_POP,IE,Ireland,12.8
T,Y15-29,PC_POP,IS,Iceland,4.1
T,Y15-29,PC_POP,IT,Italy,24.2
T,Y15-29,PC_POP,LT,Lithuania,10.2
T,Y15-29,PC_POP,LU,Luxembourg,6.6
T,Y15-29,PC_POP,LV,Latvia,12.3
T,Y15-29,PC_POP,ME,Montenegro,21.4
T,Y15-29,PC_POP,MK,Macedonia,31.1
T,Y15-29,PC_POP,MT,Malta,8.8
T,Y15-29,PC_POP,NL,Netherlands,6.5
T,Y15-29,PC_POP,NO,Norway,7.7
T,Y15-29,PC_POP,PL,Poland,13.0
T,Y15-29,PC_POP,PT,Portugal,10.6
T,Y15-29,PC_POP,RO,Romania,22.1
T,Y15-29,PC_POP,RS,Serbia,22.5
T,Y15-29,PC_POP,SE,Sweden,6.5
T,Y15-29,PC_POP,SI,Slovenia,7.9
T,Y15-29,PC_POP,SK,Slovakia,15.1
T,Y15-29,PC_POP,TR,Turkey,27.5
