sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,9.6
F,Y15-29,PC_POP,BA,Bosnia,27.4
F,Y15-29,PC_POP,BE,Belgium,9.1
F,Y15-29,PC_POP,BG,Bulgaria,16.9
F,Y15-29,PC_POP,CY,Cyprus,16.7
F,Y15-29,PC_POP,CZ,Czechia,17.1
F,Y15-29,PC_POP,DE,Germany,10.5
F,Y15-29,PC_POP,DK,Denmark,8.3
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),12.5
F,Y15-29,PC_POP,EE,Estonia,9.2
F,Y15-29,PC_POP,EL,Greece,16.5
F,Y15-29,PC_POP,ES,Spain,13.3
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),13.0
F,Y15-29,PC_POP,FI,Finland,8.6
F,Y15-29,PC_POP,FR,France,12.1
F,Y15-29,PC_POP,HR,Croatia,15.1
F,Y15-29,PC_POP,HU,Hungary,13.3
F,Y15-29,PC_POP,IE,Ireland,9.5
F,Y15-29,PC_POP,IS,Iceland,5.2
F,Y15-29,PC_POP,IT,Italy,20.5
F,Y15-29,PC_POP,LT,Lithuania,11.8
F,Y15-29,PC_POP,LU,Luxembourg,6.4
F,Y15-29,PC_POP,LV,Latvia,11.6
F,Y15-29,PC_POP,MT,Malta,7.9
F,Y15-29,PC_POP,NL,Netherlands,4.6
F,Y15-29,PC_POP,NO,Norway,6.8
F,Y15-29,PC_POP,PL,Poland,13.3
F,Y15-29,PC_POP,PT,Portugal,8.5
F,Y15-29,PC_POP,RO,Romania,25.4
F,Y15-29,PC_POP,RS,Serbia,17.5
F,Y15-29,PC_POP,SE,Sweden,5.9
F,Y15-29,PC_POP,SI,Slovenia,9.8
F,Y15-29,PC_POP,SK,Slovakia,13.9
F,Y15-29,PC_POP,TR,Turkey,38.2
M,Y15-29,PC_POP,AT,Austria,8.5
M,Y15-29,PC_POP,BA,Bosnia,19.8
M,Y15-29,PC_POP,BE,Belgium,9.3
M,Y15-29,PC_POP,BG,Bulgaria,12.7
M,Y15-29,PC_POP,CY,Cyprus,12.2
M,Y15-29,PC_POP,CZ,Czechia,6.1
M,Y15-29,PC_POP,DE,Germany,7.2
M,Y15-29,PC_POP,DK,Denmark,7.6
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),10.9
M,Y15-29,PC_POP,EE,Estonia,11.9
M,Y15-29,PC_POP,EL,Greece,14.1
M,Y15-29,PC_POP,ES,Spain,12.2
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),10.5
M,Y15-29,PC_POP,FI,Finland,10.0
M,Y15-29,PC_POP,FR,France,11.9
M,Y15-29,PC_POP,HR,Croatia,11.2
M,Y15-29,PC_POP,HU,Hungary,8.3
M,Y15-29,PC_POP,IE,Ireland,7.7
M,Y15-29,PC_POP,IS,Iceland,5.4
M,Y15-29,PC_POP,IT,Italy,17.7
M,Y15-29,PC_POP,LT,Lithuania,9.6
M,Y15-29,PC_POP,LU,Luxembourg,7.2
M,Y15-29,PC_POP,LV,Latvia,11.0
M,Y15-29,PC_POP,MT,Malta,7.4
M,Y15-29,PC_POP,NL,Netherlands,3.8
M,Y15-29,PC_POP,NO,Norway,6.8
M,Y15-29,PC_POP,PL,Poland,8.2
M,Y15-29,PC_POP,PT,Portugal,8.5
M,Y15-29,PC_POP,RO,Romania,14.5
M,Y15-29,PC_POP,RS,Serbia,13.4
M,Y15-29,PC_POP,SE,Sweden,5.4
M,Y15-29,PC_POP,SI,Slovenia,7.2
M,Y15-29,PC_POP,SK,Slovakia,10.8
M,Y15-29,PC_POP,TR,Turkey,16.6
T,Y15-29,PC_POP,AT,Austria,9.1
T,Y15-29,PC_POP,BA,Bosnia,23.5
T,Y15-29,PC_POP,BE,Belgium,9.2
T,Y15-29,PC_POP,BG,Bulgaria,14.8
T,Y15-29,PC_POP,CY,Cyprus,14.4
T,Y15-29,PC_POP,CZ,Czechia,11.4
T,Y15-29,PC_POP,DE,Germany,8.8
T,Y15-29,PC_POP,DK,Denmark,7.9
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),11.7
T,Y15-29,PC_POP,EE,Estonia,10.6
T,Y15-29,PC_POP,EL,Greece,15.3
T,Y15-29,PC_POP,ES,Spain,12.7
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),11.7
T,Y15-29,PC_POP,FI,Finland,9.3
T,Y15-29,PC_POP,FR,France,12.0
T,Y15-29,PC_POP,HR,Croatia,13.1
T,Y15-29,PC_POP,HU,Hungary,10.7
T,Y15-29,PC_POP,IE,Ireland,8.6
T,Y15-29,PC_POP,IS,Iceland,5.3
T,Y15-29,PC_POP,IT,Italy,19.0
T,Y15-29,PC_POP,LT,Lithuania,10.7
T,Y15-29,PC_POP,LU,Luxembourg,6.8
T,Y15-29,PC_POP,LV,Latvia,11.3
T,Y15-29,PC_POP,MT,Malta,7.6
T,Y15-29,PC_POP,NL,Netherlands,4.2
T,Y15-29,PC_POP,NO,Norway,6.8
T,Y15-29,PC_POP,PL,Poland,10.7
T,Y15-29,PC_POP,PT,Portugal,8.5
T,Y15-29,PC_POP,RO,Romania,19.8
T,Y15-29,PC_POP,RS,Serbia,15.4
T,Y15-29,PC_POP,SE,Sweden,5.6
T,Y15-29,PC_POP,SI,Slovenia,8.4
T,Y15-29,PC_POP,SK,Slovakia,12.3
T,Y15-29,PC_POP,TR,Turkey,27.2
