sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,10.3
F,Y15-29,PC_POP,BE,Belgium,12.5
F,Y15-29,PC_POP,BG,Bulgaria,20.3
F,Y15-29,PC_POP,CH,Switzerland,6.0
F,Y15-29,PC_POP,CY,Cyprus,16.7
F,Y15-29,PC_POP,CZ,Czechia,15.9
F,Y15-29,PC_POP,DE,Germany,11.0
F,Y15-29,PC_POP,DK,Denmark,9.6
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),14.2
F,Y15-29,PC_POP,EE,Estonia,12.2
F,Y15-29,PC_POP,EL,Greece,18.0
F,Y15-29,PC_POP,ES,Spain,15.4
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),14.7
F,Y15-29,PC_POP,FI,Finland,9.9
F,Y15-29,PC_POP,FR,France,12.6
F,Y15-29,PC_POP,HR,Croatia,16.2
F,Y15-29,PC_POP,HU,Hungary,13.4
F,Y15-29,PC_POP,IE,Ireland,12.4
F,Y15-29,PC_POP,IS,Iceland,4.8
F,Y15-29,PC_POP,IT,Italy,24.9
F,Y15-29,PC_POP,LT,Lithuania,11.0
F,Y15-29,PC_POP,LU,Luxembourg,5.9
F,Y15-29,PC_POP,LV,Latvia,10.6
F,Y15-29,PC_POP,ME,Montenegro,21.5
F,Y15-29,PC_POP,MK,Macedonia,28.3
F,Y15-29,PC_POP,MT,Malta,10.6
F,Y15-29,PC_POP,NL,Netherlands,6.9
F,Y15-29,PC_POP,NO,Norway,8.8
F,Y15-29,PC_POP,PL,Poland,15.3
F,Y15-29,PC_POP,PT,Portugal,10.0
F,Y15-29,PC_POP,RO,Romania,25.8
F,Y15-29,PC_POP,RS,Serbia,21.6
F,Y15-29,PC_POP,SE,Sweden,6.2
F,Y15-29,PC_POP,SI,Slovenia,9.2
F,Y15-29,PC_POP,SK,Slovakia,17.2
F,Y15-29,PC_POP,TR,Turkey,40.8
M,Y15-29,PC_POP,AT,Austria,7.0
M,Y15-29,PC_POP,BE,Belgium,9.8
M,Y15-29,PC_POP,BG,Bulgaria,13.1
M,Y15-29,PC_POP,CH,Switzerland,6.5
M,Y15-29,PC_POP,CY,Cyprus,12.9
M,Y15-29,PC_POP,CZ,Czechia,4.0
M,Y15-29,PC_POP,DE,Germany,6.5
M,Y15-29,PC_POP,DK,Denmark,9.5
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),11.5
M,Y15-29,PC_POP,EE,Estonia,7.3
M,Y15-29,PC_POP,EL,Greece,16.9
M,Y15-29,PC_POP,ES,Spain,14.4
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),11.0
M,Y15-29,PC_POP,FI,Finland,8.3
M,Y15-29,PC_POP,FR,France,12.1
M,Y15-29,PC_POP,HR,Croatia,12.6
M,Y15-29,PC_POP,HU,Hungary,8.7
M,Y15-29,PC_POP,IE,Ireland,10.5
M,Y15-29,PC_POP,IS,Iceland,6.6
M,Y15-29,PC_POP,IT,Italy,19.9
M,Y15-29,PC_POP,LT,Lithuania,10.9
M,Y15-29,PC_POP,LU,Luxembourg,7.0
M,Y15-29,PC_POP,LV,Latvia,10.0
M,Y15-29,PC_POP,ME,Montenegro,21.0
M,Y15-29,PC_POP,MK,Macedonia,20.9
M,Y15-29,PC_POP,MT,Malta,6.7
M,Y15-29,PC_POP,NL,Netherlands,5.7
M,Y15-29,PC_POP,NO,Norway,6.3
M,Y15-29,PC_POP,PL,Poland,7.7
M,Y15-29,PC_POP,PT,Portugal,8.2
M,Y15-29,PC_POP,RO,Romania,16.2
M,Y15-29,PC_POP,RS,Serbia,17.9
M,Y15-29,PC_POP,SE,Sweden,5.7
M,Y15-29,PC_POP,SI,Slovenia,5.9
M,Y15-29,PC_POP,SK,Slovakia,10.3
M,Y15-29,PC_POP,TR,Turkey,18.3
T,Y15-29,PC_POP,AT,Austria,8.6
T,Y15-29,PC_POP,BE,Belgium,11.2
T,Y15-29,PC_POP,BG,Bulgaria,16.6
T,Y15-29,PC_POP,CH,Switzerland,6.2
T,Y15-29,PC_POP,CY,Cyprus,14.7
T,Y15-29,PC_POP,CZ,Czechia,9.8
T,Y15-29,PC_POP,DE,Germany,8.6
T,Y15-29,PC_POP,DK,Denmark,9.6
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),12.8
T,Y15-29,PC_POP,EE,Estonia,9.7
T,Y15-29,PC_POP,EL,Greece,17.5
T,Y15-29,PC_POP,ES,Spain,14.9
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),12.8
T,Y15-29,PC_POP,FI,Finland,9.1
T,Y15-29,PC_POP,FR,France,12.4
T,Y15-29,PC_POP,HR,Croatia,14.3
T,Y15-29,PC_POP,HU,Hungary,11.0
T,Y15-29,PC_POP,IE,Ireland,11.4
T,Y15-29,PC_POP,IS,Iceland,5.7
T,Y15-29,PC_POP,IT,Italy,22.3
T,Y15-29,PC_POP,LT,Lithuania,10.9
T,Y15-29,PC_POP,LU,Luxembourg,6.5
T,Y15-29,PC_POP,LV,Latvia,10.2
T,Y15-29,PC_POP,ME,Montenegro,21.3
T,Y15-29,PC_POP,MK,Macedonia,24.5
T,Y15-29,PC_POP,MT,Malta,8.5
T,Y15-29,PC_POP,NL,Netherlands,6.3
T,Y15-29,PC_POP,NO,Norway,7.5
T,Y15-29,PC_POP,PL,Poland,11.4
T,Y15-29,PC_POP,PT,Portugal,9.1
T,Y15-29,PC_POP,RO,Romania,20.9
T,Y15-29,PC_POP,RS,Serbia,19.7
T,Y15-29,PC_POP,SE,Sweden,5.9
T,Y15-29,PC_POP,SI,Slovenia,7.5
T,Y15-29,PC_POP,SK,Slovakia,13.7
T,Y15-29,PC_POP,TR,Turkey,29.5
