sex,age,unit,geo,Geopolitical entity (reporting),OBS_VALUE
F,Y15-29,PC_POP,AT,Austria,9.7
F,Y15-29,PC_POP,BE,Belgium,15.0
F,Y15-29,PC_POP,BG,Bulgaria,24.9
F,Y15-29,PC_POP,CH,Switzerland,7.7
F,Y15-29,PC_POP,CY,Cyprus,19.2
F,Y15-29,PC_POP,CZ,Czechia,17.2
F,Y15-29,PC_POP,DE,Germany,12.1
F,Y15-29,PC_POP,DK,Denmark,8.9
F,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),16.7
F,Y15-29,PC_POP,EE,Estonia,16.2
F,Y15-29,PC_POP,EL,Greece,24.6
F,Y15-29,PC_POP,ES,Spain,19.7
F,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),17.1
F,Y15-29,PC_POP,FI,Finland,12.4
F,Y15-29,PC_POP,FR,France,14.5
F,Y15-29,PC_POP,HR,Croatia,19.2
F,Y15-29,PC_POP,HU,Hungary,15.3
F,Y15-29,PC_POP,IE,Ireland,16.6
F,Y15-29,PC_POP,IS,Iceland,4.9
F,Y15-29,PC_POP,IT,Italy,27.9
F,Y15-29,PC_POP,LT,Lithuania,13.0
F,Y15-29,PC_POP,LU,Luxembourg,8.6
F,Y15-29,PC_POP,LV,Latvia,15.4
F,Y15-29,PC_POP,ME,Montenegro,24.1
F,Y15-29,PC_POP,MK,Macedonia,35.3
F,Y15-29,PC_POP,MT,Malta,15.0
F,Y15-29,PC_POP,NL,Netherlands,8.8
F,Y15-29,PC_POP,NO,Norway,9.4
F,Y15-29,PC_POP,PL,Poland,16.5
F,Y15-29,PC_POP,PT,Portugal,14.2
F,Y15-29,PC_POP,RO,Romania,30.6
F,Y15-29,PC_POP,RS,Serbia,27.0
F,Y15-29,PC_POP,SE,Sweden,7.4
F,Y15-29,PC_POP,SI,Slovenia,10.6
F,Y15-29,PC_POP,SK,Slovakia,18.9
F,Y15-29,PC_POP,TR,Turkey,41.6
M,Y15-29,PC_POP,AT,Austria,8.4
M,Y15-29,PC_POP,BE,Belgium,12.2
M,Y15-29,PC_POP,BG,Bulgaria,19.6
M,Y15-29,PC_POP,CH,Switzerland,7.0
M,Y15-29,PC_POP,CY,Cyprus,17.7
M,Y15-29,PC_POP,CZ,Czechia,6.6
M,Y15-29,PC_POP,DE,Germany,7.3
M,Y15-29,PC_POP,DK,Denmark,8.2
M,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),14.0
M,Y15-29,PC_POP,EE,Estonia,8.7
M,Y15-29,PC_POP,EL,Greece,23.0
M,Y15-29,PC_POP,ES,Spain,19.2
M,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),13.9
M,Y15-29,PC_POP,FI,Finland,11.2
M,Y15-29,PC_POP,FR,France,13.4
M,Y15-29,PC_POP,HR,Croatia,20.4
M,Y15-29,PC_POP,HU,Hungary,11.1
M,Y15-29,PC_POP,IE,Ireland,16.3
M,Y15-29,PC_POP,IS,Iceland,5.6
M,Y15-29,PC_POP,IT,Italy,23.8
M,Y15-29,PC_POP,LT,Lithuania,10.7
M,Y15-29,PC_POP,LU,Luxembourg,6.5
M,Y15-29,PC_POP,LV,Latvia,12.2
M,Y15-29,PC_POP,ME,Montenegro,22.8
M,Y15-29,PC_POP,MK,Macedonia,29.9
M,Y15-29,PC_POP,MT,Malta,8.8
M,Y15-29,PC_POP,NL,Netherlands,5.9
M,Y15-29,PC_POP,NO,Norway,7.3
M,Y15-29,PC_POP,PL,Poland,13.3
M,Y15-29,PC_POP,PT,Portugal,12.0
M,Y15-29,PC_POP,RO,Romania,21.4
M,Y15-29,PC_POP,RS,Serbia,24.1
M,Y15-29,PC_POP,SE,Sweden,6.8
M,Y15-29,PC_POP,SI,Slovenia,10.4
M,Y15-29,PC_POP,SK,Slovakia,14.0
M,Y15-29,PC_POP,TR,Turkey,14.2
T,Y15-29,PC_POP,AT,Austria,9.0
T,Y15-29,PC_POP,BE,Belgium,13.6
T,Y15-29,PC_POP,BG,Bulgaria,22.2
T,Y15-29,PC_POP,CH,Switzerland,7.3
T,Y15-29,PC_POP,CY,Cyprus,18.5
T,Y15-29,PC_POP,CZ,Czechia,11.8
T,Y15-29,PC_POP,DE,Germany,9.6
T,Y15-29,PC_POP,DK,Denmark,8.5
T,Y15-29,PC_POP,EA20,Euro area – 20 countries (from 2023),15.3
T,Y15-29,PC_POP,EE,Estonia,12.4
T,Y15-29,PC_POP,EL,Greece,23.8
T,Y15-29,PC_POP,ES,Spain,19.4
T,Y15-29,PC_POP,EU27_2020,European Union - 27 countries (from 2020),15.5
T,Y15-29,PC_POP,FI,Finland,11.8
T,Y15-29,PC_POP,FR,France,13.9
T,Y15-29,PC_POP,HR,Croatia,19.8
T,Y15-29,PC_POP,HU,Hungary,13.1
T,Y15-29,PC_POP,IE,Ireland,16.5
T,Y15-29,PC_POP,IS,Iceland,5.3
T,Y15-29,PC_POP,IT,Italy,25.8
T,Y15-29,PC_POP,LT,Lithuania,11.8
T,Y15-29,PC_POP,LU,Luxembourg,7.6
T,Y15-29,PC_POP,LV,Latvia,13.8
T,Y15-29,PC_POP,ME,Montenegro,23.4
T,Y15-29,PC_POP,MK,Macedonia,32.5
T,Y15-29,PC_POP,MT,Malta,11.8
T,Y15-29,PC_POP,NL,Netherlands,7.3
T,Y15-29,PC_POP,NO,Norway,8.3
T,Y15-29,PC_POP,PL,Poland,14.9
T,Y15-29,PC_POP,PT,Portugal,13.1
T,Y15-29,PC_POP,RO,Romania,25.8
T,Y15-29,PC_POP,RS,Serbia,25.5
T,Y15-29,PC_POP,SE,Sweden,7.1
T,Y15-29,PC_POP,SI,Slovenia,10.5
T,Y15-29,PC_POP,SK,Slovakia,16.4
T,Y15-29,PC_POP,TR,Turkey,27.9
