Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,AFG,2021,40000411
Africa (UN),,2021,1413753053
Albania,ALB,2021,2849643
Algeria,DZA,2021,44761101
American Samoa,ASM,2021,49248
Americas (UN),,2021,1029207261
Andorra,AND,2021,78375
Angola,AGO,2021,34532427
Anguilla,AIA,2021,14503
Antigua and Barbuda,ATG,2021,92358
Argentina,ARG,2021,45312283
Armenia,ARM,2021,2870339
Aruba,ABW,2021,107565
Asia (UN),,2021,4718316356
Australia,AUS,2021,25956416
Austria,AUT,2021,8967053
Azerbaijan,AZE,2021,10234373
Bahamas,BHS,2021,396381
Bahrain,BHR,2021,1501762
Bangladesh,BGD,2021,167658855
Barbados,BRB,2021,282156
Belarus,BLR,2021,9251367
Belgium,BEL,2021,11570842
Belize,BLZ,2021,395356
Benin,BEN,2021,13413423
Bermuda,BMU,2021,64672
Bhutan,BTN,2021,775451
Bolivia,BOL,2021,11937369
Bonaire Sint Eustatius and Saba,BES,2021,27346
Bosnia and Herzegovina,BIH,2021,3244909
Botswana,BWA,2021,2401449
Brazil,BRA,2021,209550291
British Virgin Islands,VGB,2021,37833
Brunei,BRN,2021,451723
Bulgaria,BGR,2021,6877222
Burkina Faso,BFA,2021,21995249
Burundi,BDI,2021,12965487
Cambodia,KHM,2021,16974308
Cameroon,CMR,2021,26915764
Canada,CAN,2021,38454058
Cape Verde,CPV,2021,516655
Cayman Islands,CYM,2021,70126
Central African Republic,CAF,2021,5112102
Chad,TCD,2021,17828274
Chile,CHL,2021,19456323
China,CHN,2021,1426437276
Colombia,COL,2021,51188174
Comoros,COM,2021,818178
Congo,COG,2021,5892186
Cook Islands,COK,2021,15204
Costa Rica,CRI,2021,5059992
Cote d'Ivoire,CIV,2021,29639735
Croatia,HRV,2021,3924607
Cuba,CUB,2021,11122169
Curacao,CUW,2021,185324
Cyprus,CYP,2021,1317312
Czechia,CZE,2021,10530683
Democratic Republic of Congo,COD,2021,99148931
Denmark,DNK,2021,5856773
Djibouti,DJI,2021,1121251
Dominica,DMA,2021,67223
Dominican Republic,DOM,2021,11123480
East Timor,TLS,2021,1350142
Ecuador,ECU,2021,17682454
Egypt,EGY,2021,110957004
El Salvador,SLV,2021,6255781
Equatorial Guinea,GNQ,2021,1758796
Eritrea,ERI,2021,3350184
Estonia,EST,2021,1331750
Eswatini,SWZ,2021,1206599
Ethiopia,ETH,2021,122138590
Europe (UN),,2021,748613503
Falkland Islands,FLK,2021,3524
Faroe Islands,FRO,2021,53324
Fiji,FJI,2021,916717
Finland,FIN,2021,5541068
France,FRA,2021,66083547
French Guiana,GUF,2021,293023
French Polynesia,PYF,2021,279807
Gabon,GAB,2021,2376728
Gambia,GMB,2021,2576014
Georgia,GEO,2021,3788450
Germany,DEU,2021,83697082
Ghana,GHA,2021,32518662
Gibraltar,GIB,2021,36880
Greece,GRC,2021,10579561
Greenland,GRL,2021,56065
Grenada,GRD,2021,116695
Guadeloupe,GLP,2021,399156
Guam,GUM,2021,163741
Guatemala,GTM,2021,17598654
Guernsey,GGY,2021,63436
Guinea,GIN,2021,13710516
Guinea-Bissau,GNB,2021,2058842
Guyana,GUY,2021,815484
Haiti,HTI,2021,11374592
High-income countries,,2021,1248780604
Honduras,HND,2021,10289882
Hong Kong,HKG,2021,7484604
Hungary,HUN,2021,9707848
Iceland,ISL,2021,372649
India,IND,2021,1414203889
Indonesia,IDN,2021,276758056
Iran,IRN,2021,88455491
Iraq,IRQ,2021,43071210
