Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,AFG,2020,39068978
Africa (UN),,2020,1380821159
Albania,ALB,2020,2871951
Algeria,DZA,2020,44042093
American Samoa,ASM,2020,49779
Americas (UN),,2020,1024463737
Andorra,AND,2020,77398
Angola,AGO,2020,33451140
Anguilla,AIA,2020,14864
Antigua and Barbuda,ATG,2020,91864
Argentina,ARG,2020,45191960
Armenia,ARM,2020,2890894
Aruba,ABW,2020,107411
Asia (UN),,2020,4688113349
Australia,AUS,2020,25743787
Austria,AUT,2020,8921402
Azerbaijan,AZE,2020,10181736
Bahamas,BHS,2020,395874
Bahrain,BHR,2020,1483081
Bangladesh,BGD,2020,166298024
Barbados,BRB,2020,281705
Belarus,BLR,2020,9350943
Belgium,BEL,2020,11540103
Belize,BLZ,2020,390819
Benin,BEN,2020,13070170
Bermuda,BMU,2020,64405
Bhutan,BTN,2020,770014
Bolivia,BOL,2020,11816300
Bonaire Sint Eustatius and Saba,BES,2020,26475
Bosnia and Herzegovina,BIH,2020,3299352
Botswana,BWA,2020,2365895
Brazil,BRA,2020,208660845
British Virgin Islands,VGB,2020,37160
Brunei,BRN,2020,447412
Bulgaria,BGR,2020,6933654
Burkina Faso,BFA,2020,21478692
Burundi,BDI,2020,12617042
Cambodia,KHM,2020,16725482
Cameroon,CMR,2020,26210566
Canada,CAN,2020,38171901
Cape Verde,CPV,2020,514684
Cayman Islands,CYM,2020,68701
Central African Republic,CAF,2020,5026629
Chad,TCD,2020,17224685
Chile,CHL,2020,19370619
China,CHN,2020,1426106083
Colombia,COL,2020,50629997
Comoros,COM,2020,802172
Congo,COG,2020,5752791
Cook Islands,COK,2020,15663
Costa Rica,CRI,2020,5034323
Cote d'Ivoire,CIV,2020,28915452
Croatia,HRV,2020,3953957
Cuba,CUB,2020,11176349
Curacao,CUW,2020,185026
Cyprus,CYP,2020,1302250
Czechia,CZE,2020,10550130
Democratic Republic of Congo,COD,2020,95989999
Denmark,DNK,2020,5831530
Djibouti,DJI,2020,1105194
Dominica,DMA,2020,67589
Dominican Republic,DOM,2020,11008297
East Timor,TLS,2020,1326051
Ecuador,ECU,2020,17546058
Egypt,EGY,2020,109315119
El Salvador,SLV,2020,6234680
Equatorial Guinea,GNQ,2020,1716479
Eritrea,ERI,2020,3291277
Estonia,EST,2020,1329674
Eswatini,SWZ,2020,1192733
Ethiopia,ETH,2020,118917671
Europe (UN),,2020,749524039
Falkland Islands,FLK,2020,3537
Faroe Islands,FRO,2020,52615
Fiji,FJI,2020,914970
Finland,FIN,2020,5529617
France,FRA,2020,65905273
French Guiana,GUF,2020,289063
French Polynesia,PYF,2020,279219
Gabon,GAB,2020,2322536
Gambia,GMB,2020,2515744
Georgia,GEO,2020,3795680
Germany,DEU,2020,83628711
Ghana,GHA,2020,31887801
Gibraltar,GIB,2020,36197
Greece,GRC,2020,10699370
Greenland,GRL,2020,56105
Grenada,GRD,2020,116353
Guadeloupe,GLP,2020,407400
Guam,GUM,2020,162167
Guatemala,GTM,2020,17357331
Guernsey,GGY,2020,63128
Guinea,GIN,2020,13371187
Guinea-Bissau,GNB,2020,2013259
Guyana,GUY,2020,807487
Haiti,HTI,2020,11243847
High-income countries,,2020,1246978178
Honduras,HND,2020,10119637
Hong Kong,HKG,2020,7490240
Hungary,HUN,2020,9749460
Iceland,ISL,2020,366626
India,IND,2020,1402617692
Indonesia,IDN,2020,274814864
Iran,IRN,2020,87723446
Iraq,IRQ,2020,42116604
Ireland,IRL,2020,4982604
Isle of Man,IMN,2020,84079
Israel,ISR,2020,8800379
Italy,ITA,2020,59912763
Jamaica,JAM,2020,2830746
Japan,JPN,2020,126304536
Jersey,JEY,2020,103138
Jordan,JOR,2020,10865231
Kazakhstan,KAZ,2020,19482117
Kenya,KEN,2020,52217327
Kiribati,KIR,2020,126110
Kosovo,OWID_KOS,2020,1751415
Kuwait,KWT,2020,4400146
Kyrgyzstan,KGZ,2020,6664142
Land-locked developing countries (LLDC),,2020,541140668
